MAE,Sm,wFm,Em
0.1754389852285385,0.5209386443197698,0.4874122308301422,0.44509345351700047
0.6296638250350952,0.19638080168645214,0.13917181275206014,0.24719657659565558
0.27555909752845764,0.36477976772946547,0.06647049520044951,0.25144609734879936
0.6955605745315552,0.16471105086104929,0.15603092522368991,0.23258197419804005
0.4767446517944336,0.2876549674233297,0.22827361899707985,0.2763927658745839
0.6092376112937927,0.23931688147196017,0.3657938096800678,0.22929215236932077
0.2651480436325073,0.3724129405554912,0.07035982806945126,0.25595398519850954
0.2761499881744385,0.3662261468914566,0.09230235030945516,0.25183556377848715
0.6842985153198242,0.17541850584689547,0.1788193715165353,0.2276362647216889
0.9784547090530396,0.017670071131041305,0.09483537437461999,0.24532447537442792
0.37542295455932617,0.3939057858534576,0.3776752181259634,0.32996775921105526
0.06152050569653511,0.47537303325268104,0.05353888879975929,0.2540119550817881
0.14814086258411407,0.4682119986193143,0.3430939029138761,0.3704375882608385
0.7334922552108765,0.13742113260949457,0.06793003820388652,0.251298863069212
0.8065503835678101,0.10481437076937118,0.11217631668908572,0.22477116835318162
0.593855082988739,0.22222043732369853,0.23483586015792332,0.24685628887178374
0.9882473945617676,0.011752619408071041,0.08554106568801666,0.013569302952713011
0.1230444386601448,0.4445770445910218,0.059900732352770374,0.25449689489041316
0.4541915953159332,0.29208950978069015,0.1647972763404039,0.2679696004253159
0.041361190378665924,0.513406280377133,0.395572948726278,0.4970444262898614
0.7283704876899719,0.14363237152812855,0.10822374068567442,0.24160251144236883
0.20598183572292328,0.4638419170770971,0.48294801857921604,0.4380915176152973
0.432651162147522,0.3005907191369865,0.20121968885258962,0.273156700446753
0.02466149441897869,0.6172361787391372,0.16997709855770354,0.41784865076822814
0.4855983853340149,0.29084447164617083,0.2358237577380104,0.2702792608663398
0.6230446100234985,0.19454446256089922,0.09559925632430327,0.24771055825543906
0.7274042367935181,0.13941070104694303,0.05806174356400936,0.2512586150320301
0.7019618153572083,0.16257043466593551,0.1684778361441978,0.2243887456484276
0.3770027756690979,0.3515818285060688,0.35770986871849225,0.32216677416564465
0.8648974299430847,0.071936433737233,0.07390543568258086,0.24391072786571416
0.9181767106056213,0.04447742613299624,0.06796278080459844,0.24610208472217016
0.04072651267051697,0.8997439388061483,0.8427972104315227,0.8922537520200465
0.40998637676239014,0.3133208153108718,0.2033125795252166,0.27758861512914734
0.2703576385974884,0.46194480595639215,0.32152725019855755,0.3332401007818798
0.4231862723827362,0.2932953406138324,0.10608547137393015,0.2564777466120501
0.14913514256477356,0.7220936260654116,0.784280773970862,0.7057444474313637
0.626720666885376,0.1918014593468341,0.06947332539445313,0.2505750356980346
0.46280306577682495,0.3219412138800487,0.42180155968250244,0.3174255068009627
0.11418238282203674,0.4848157716147957,0.39062227308387604,0.4122379149737899
0.7870118618011475,0.11044752773199998,0.06187031204610811,0.2466365391392937
0.4368619918823242,0.2889333981375376,0.13120994015842793,0.25846557676278414
0.08813595771789551,0.48475092495094774,0.23208496217200753,0.34443044912456594
0.7498547434806824,0.1345862237517992,0.13193960085028097,0.22859008474307346
0.8550276756286621,0.08770023133263698,0.16357393952416782,0.17453921738626932
0.6193602085113525,0.19602458735135844,0.08482393036086021,0.25123052085539843
0.41911113262176514,0.29336119987926046,0.057028280562238486,0.252339891561591
0.9159433841705322,0.04907354747813901,0.0990413094603983,0.2341636833320808
0.9841474890708923,0.013861456826768207,0.08678153970339399,0.24807411760157017
0.21791349351406097,0.5025256926966379,0.5353249603954092,0.4685362934413004
0.34415125846862793,0.3954429183277202,0.4119834639919023,0.3485669383692158
0.12609173357486725,0.4511567908622142,0.09201210086246324,0.27506156039487606
0.27321967482566833,0.38511789274027897,0.4285992670472186,0.38064080823192364
0.2439085990190506,0.3828093619962934,0.041776658419562254,0.25218337397889645
0.6249069571495056,0.22350710957483078,0.39340987965222085,0.21498420787440792
0.17502343654632568,0.4176139109646982,0.09086155277868752,0.2575699522428627
0.7354437708854675,0.16400388176613964,0.29708870594857734,0.16153418680960369
0.2257923185825348,0.39828264897145604,0.19160906690585136,0.28275496103122544
0.5787715911865234,0.2502756341686603,0.2834815378803748,0.24425165689059952
0.17610721290111542,0.42539776754403186,0.24464933919901777,0.3117463649003374
0.5249035954475403,0.25145572350578416,0.1785651860438029,0.2604567516468047
0.9178450107574463,0.04599941791324661,0.07646896421756359,0.24367326479692694
0.3950645625591278,0.3073638201211827,0.07224659153216254,0.2512052433403783
0.6546921133995056,0.18335183146246598,0.1272815268703811,0.2471136108541832
0.8327502608299255,0.09292058734254696,0.11508134286183153,0.2053195006875853
